Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The human is the loop: new directions for visual analytics","Journal of Intelligent Information Systems","","43","3","10.1007/s10844-014-0304-9","Alex EndertM. Shahriar HossainNaren RamakrishnanChris NorthPatrick FiauxChristopher Andrews","2014","http://link.springer.com/article/10.1007/s10844-014-0304-9","Article"
"A survey of methods for distributed machine learning","Progress in Artificial Intelligence","","2","1","10.1007/s13748-012-0035-5","Diego Peteiro-BarralBertha Guijarro-Berdiñas","2013","http://link.springer.com/article/10.1007/s13748-012-0035-5","Article"
"Non-Gaussian Data Clustering via Expectation Propagation Learning of Finite Dirichlet Mixture Models and Applications","Neural Processing Letters","","39","2","10.1007/s11063-013-9293-x","Wentao FanNizar Bouguila","2014","http://link.springer.com/article/10.1007/s11063-013-9293-x","Article"
"A systematic review and comparative analysis of cross-document coreference resolution methods and tools","Computing","","99","4","10.1007/s00607-016-0490-0","Seyed-Mehdi-Reza BeheshtiBoualem BenatallahSrikumar VenugopalSeung Hwan RyuHamid Reza Motahari-NezhadWei Wang","2017","http://link.springer.com/article/10.1007/s00607-016-0490-0","Article"
"Big Data Management: What to Keep from the Past to Face Future Challenges?","Data Science and Engineering","","2","4","10.1007/s41019-017-0043-3","G. Vargas-SolarJ. L. Zechinelli-MartiniJ. A. Espinosa-Oviedo","2017","http://link.springer.com/article/10.1007/s41019-017-0043-3","Article"
"An aggregate and iterative disaggregate algorithm with proven optimality in machine learning","Machine Learning","","105","2","10.1007/s10994-016-5562-z","Young Woong ParkDiego Klabjan","2016","http://link.springer.com/article/10.1007/s10994-016-5562-z","Article"
"Experience report on applying software analytics in incident management of online service","Automated Software Engineering","","24","4","10.1007/s10515-017-0218-1","Jian-Guang LouQingwei LinRui DingQiang FuDongmei ZhangTao Xie","2017","http://link.springer.com/article/10.1007/s10515-017-0218-1","Article"
"Fuzzy C-means for english sentiment classification in a distributed system","Applied Intelligence","","46","3","10.1007/s10489-016-0858-z","Vo Ngoc PhuNguyen Duy DatVo Thi Ngoc TranVo Thi Ngoc ChauTuan A. Nguyen","2017","http://link.springer.com/article/10.1007/s10489-016-0858-z","Article"
"Granular computing with multiple granular layers for brain big data processing","Brain Informatics","","1","1 - 4","10.1007/s40708-014-0001-z","Guoyin WangJi Xu","2014","http://link.springer.com/article/10.1007/s40708-014-0001-z","Article"
"MR-ELM: a MapReduce-based framework for large-scale ELM training in big data era","Neural Computing and Applications","","27","1","10.1007/s00521-014-1559-3","Jiaoyan ChenHuajun ChenXiangyi WanGuozhou Zheng","2016","http://link.springer.com/article/10.1007/s00521-014-1559-3","Article"
"Learning from imbalanced data: open challenges and future directions","Progress in Artificial Intelligence","","5","4","10.1007/s13748-016-0094-0","Bartosz Krawczyk","2016","http://link.springer.com/article/10.1007/s13748-016-0094-0","Article"
"Using data to build a better EM: EM* for big data","International Journal of Data Science and Analytics","","4","2","10.1007/s41060-017-0062-1","Hasan KurbanMark JenneMehmet M. Dalkilic","2017","http://link.springer.com/article/10.1007/s41060-017-0062-1","Article"
"A real-time recommendation engine using lambda architecture","Artificial Life and Robotics","","","","10.1007/s10015-017-0424-8","Thanisa Numnonda","2017","http://link.springer.com/article/10.1007/s10015-017-0424-8","Article"
"Efficient data distribution and results merging for parallel data clustering in mapreduce environment","Applied Intelligence","","","","10.1007/s10489-017-1089-7","Abdelhak BousbaciNadjet Kamel","2017","http://link.springer.com/article/10.1007/s10489-017-1089-7","Article"
"Review of information extraction technologies and applications","Neural Computing and Applications","","25","3 - 4","10.1007/s00521-013-1516-6","Sharon Gower SmallLarry Medsker","2014","http://link.springer.com/article/10.1007/s00521-013-1516-6","Article"
"SMILI☺: a Framework for Interfaces to Learning Data in Open Learner Models, Learning Analytics and Related Fields","International Journal of Artificial Intelligence in Education","","26","1","10.1007/s40593-015-0090-8","Susan BullJudy Kay","2016","http://link.springer.com/article/10.1007/s40593-015-0090-8","Article"
"A Survey of Visual Analytics Techniques and Applications: State-of-the-Art Research and Future Challenges","Journal of Computer Science and Technology","","28","5","10.1007/s11390-013-1383-8","Guo-Dao SunYing-Cai WuRong-Hua LiangShi-Xia Liu","2013","http://link.springer.com/article/10.1007/s11390-013-1383-8","Article"
"Applications of quantum inspired computational intelligence: a survey","Artificial Intelligence Review","","42","1","10.1007/s10462-012-9330-6","A. ManjuM. J. Nigam","2014","http://link.springer.com/article/10.1007/s10462-012-9330-6","Article"
"Beyond Reinforcement Learning and Local View in Multiagent Systems","KI - Künstliche Intelligenz","","28","3","10.1007/s13218-014-0312-5","Ana L. C. Bazzan","2014","http://link.springer.com/article/10.1007/s13218-014-0312-5","Article"
"Semantics-based Web service classification using morphological analysis and ensemble learning techniques","International Journal of Data Science and Analytics","","2","1 - 2","10.1007/s41060-016-0026-x","S. Sowmya KamathV. S. Ananthanarayana","2016","http://link.springer.com/article/10.1007/s41060-016-0026-x","Article"
"A new facial expression recognition based on curvelet transform and online sequential extreme learning machine initialized with spherical clustering","Neural Computing and Applications","","27","1","10.1007/s00521-014-1569-1","Ayşegül UçarYakup DemirCüneyt Güzeliş","2016","http://link.springer.com/article/10.1007/s00521-014-1569-1","Article"
"Graph based anomaly detection and description: a survey","Data Mining and Knowledge Discovery","","29","3","10.1007/s10618-014-0365-y","Leman AkogluHanghang TongDanai Koutra","2015","http://link.springer.com/article/10.1007/s10618-014-0365-y","Article"
"Feature selection for high-dimensional data","Progress in Artificial Intelligence","","5","2","10.1007/s13748-015-0080-y","Verónica Bolón-CanedoNoelia Sánchez-MaroñoAmparo Alonso-Betanzos","2016","http://link.springer.com/article/10.1007/s13748-015-0080-y","Article"
"Big data as the new enabler in business and other intelligence","Vietnam Journal of Computer Science","","1","1","10.1007/s40595-013-0001-6","Gottfried Vossen","2014","http://link.springer.com/article/10.1007/s40595-013-0001-6","Article"
"Survey on using constraints in data mining","Data Mining and Knowledge Discovery","","31","2","10.1007/s10618-016-0480-z","Valerio GrossiAndrea RomeiFranco Turini","2017","http://link.springer.com/article/10.1007/s10618-016-0480-z","Article"
"A Big Data analyzer for large trace logs","Computing","","98","12","10.1007/s00607-015-0480-7","Alkida BalliuDennis OlivettiOzalp BabaogluMoreno MarzollaAlina Sîrbu","2016","http://link.springer.com/article/10.1007/s00607-015-0480-7","Article"
"Hybrid Ensemble Machine Learning for Complex and Dynamic Data","New Generation Computing","","33","4","10.1007/s00354-015-0400-6","Bartosz KrawczykBogdan Trawiński","2015","http://link.springer.com/article/10.1007/s00354-015-0400-6","Article"
"Parameter-less co-clustering for star-structured heterogeneous data","Data Mining and Knowledge Discovery","","26","2","10.1007/s10618-012-0248-z","Dino IencoCéline RobardetRuggero G. PensaRosa Meo","2013","http://link.springer.com/article/10.1007/s10618-012-0248-z","Article"
"The Matsu Wheel: a reanalysis framework for Earth satellite imagery in data commons","International Journal of Data Science and Analytics","","4","4","10.1007/s41060-017-0052-3","Maria T. PattersonNikolas AndersonCollin BennettJacob BruggemannRobert L. GrossmanMatthew HandyVuong LyDaniel J. MandlShane PedersonJames PivarskiRay PowellJonathan SpringWalt WellsJohn Xia","2017","http://link.springer.com/article/10.1007/s41060-017-0052-3","Article"
"Classifying Uncertain and Evolving Data Streams with Distributed Extreme Learning Machine","Journal of Computer Science and Technology","","30","4","10.1007/s11390-015-1566-6","Dong-Hong HanXin ZhangGuo-Ren Wang","2015","http://link.springer.com/article/10.1007/s11390-015-1566-6","Article"
"Data Mining: From Procedural to Declarative Approaches","New Generation Computing","","33","2","10.1007/s00354-015-0202-x","Hendrik Blockeel","2015","http://link.springer.com/article/10.1007/s00354-015-0202-x","Article"
"Supervised clustering of label ranking data using label preference information","Machine Learning","","93","2 - 3","10.1007/s10994-013-5374-3","Mihajlo GrbovicNemanja DjuricShengbo GuoSlobodan Vucetic","2013","http://link.springer.com/article/10.1007/s10994-013-5374-3","Article"
"Financial time series prediction using distributed machine learning techniques","Neural Computing and Applications","","","","10.1007/s00521-017-3283-2","Usha Manasi MohapatraBabita MajhiSuresh Chandra Satapathy","2017","http://link.springer.com/article/10.1007/s00521-017-3283-2","Article"
"Evolution of Cloud Operating System: From Technology to Ecosystem","Journal of Computer Science and Technology","","32","2","10.1007/s11390-017-1717-z","Zuo-Ning ChenKang ChenJin-Lei JiangLu-Fei ZhangSong WuZheng-Wei QiChun-Ming HuYong-Wei WuYu-Zhong SunHong TangAo-Bing SunZi-Lu Kang","2017","http://link.springer.com/article/10.1007/s11390-017-1717-z","Article"
"Application of computational intelligence technologies in emergency management: a literature review","Artificial Intelligence Review","","","","10.1007/s10462-017-9589-8","Ning ChenWenjing LiuRuizhen BaiAn Chen","2017","http://link.springer.com/article/10.1007/s10462-017-9589-8","Article"
"A Survey of Visual Analytic Pipelines","Journal of Computer Science and Technology","","31","4","10.1007/s11390-016-1663-1","Xu-Meng WangTian-Ye ZhangYu-Xin MaJing XiaWei Chen","2016","http://link.springer.com/article/10.1007/s11390-016-1663-1","Article"
"Model-Based Clustering Based on Variational Learning of Hierarchical Infinite Beta-Liouville Mixture Models","Neural Processing Letters","","44","2","10.1007/s11063-015-9466-x","Wentao FanNizar Bouguila","2016","http://link.springer.com/article/10.1007/s11063-015-9466-x","Article"
"A New Evolving Tree-Based Model with Local Re-learning for Document Clustering and Visualization","Neural Processing Letters","","46","2","10.1007/s11063-017-9597-3","Wui Lee ChangKai Meng TayChee Peng Lim","2017","http://link.springer.com/article/10.1007/s11063-017-9597-3","Article"
"A comparative study of hash based approximate nearest neighbor learning and its application in image retrieval","Artificial Intelligence Review","","","","10.1007/s10462-017-9591-1","P. ArulmozhiS. Abirami","2017","http://link.springer.com/article/10.1007/s10462-017-9591-1","Article"
"On constrained spectral clustering and its applications","Data Mining and Knowledge Discovery","","28","1","10.1007/s10618-012-0291-9","Xiang WangBuyue QianIan Davidson","2014","http://link.springer.com/article/10.1007/s10618-012-0291-9","Article"
"WCDS: A Two-Phase Weightless Neural System for Data Stream Clustering","New Generation Computing","","35","4","10.1007/s00354-017-0018-y","Douglas O. CardosoFelipe M. G. FrançaJoão Gama","2017","http://link.springer.com/article/10.1007/s00354-017-0018-y","Article"
"Massively parallel feature selection: an approach based on variance preservation","Machine Learning","","92","1","10.1007/s10994-013-5373-4","Zheng ZhaoRuiwen ZhangJames CoxDavid DulingWarren Sarle","2013","http://link.springer.com/article/10.1007/s10994-013-5373-4","Article"
"Learning figures with the Hausdorff metric by fractals—towards computable binary classification","Machine Learning","","90","1","10.1007/s10994-012-5301-z","Mahito SugiyamaEiju HirowatariHideki TsuikiAkihiro Yamamoto","2013","http://link.springer.com/article/10.1007/s10994-012-5301-z","Article"
"Applying machine learning techniques for scaling out data quality algorithms in cloud computing environments","Applied Intelligence","","45","2","10.1007/s10489-016-0774-2","Dimas Cassimiro NascimentoCarlos Eduardo PiresDemetrio Gomes Mestre","2016","http://link.springer.com/article/10.1007/s10489-016-0774-2","Article"
"Learning Grammars for Architecture-Specific Facade Parsing","International Journal of Computer Vision","","117","3","10.1007/s11263-016-0887-4","Raghudeep GaddeRenaud MarletNikos Paragios","2016","http://link.springer.com/article/10.1007/s11263-016-0887-4","Article"
"Multiple Bayesian discriminant functions for high-dimensional massive data classification","Data Mining and Knowledge Discovery","","31","2","10.1007/s10618-016-0481-y","Jianfei ZhangShengrui WangLifei ChenPatrick Gallinari","2017","http://link.springer.com/article/10.1007/s10618-016-0481-y","Article"
"Granular support vector machine: a review","Artificial Intelligence Review","","","","10.1007/s10462-017-9555-5","Husheng GuoWenjian Wang","2017","http://link.springer.com/article/10.1007/s10462-017-9555-5","Article"
"The blind men and the elephant: on meeting the problem of multiple truths in data from clustering and pattern mining perspectives","Machine Learning","","98","1 - 2","10.1007/s10994-013-5334-y","Arthur ZimekJilles Vreeken","2015","http://link.springer.com/article/10.1007/s10994-013-5334-y","Article"
"Artificial intelligence based cognitive routing for cognitive radio networks","Artificial Intelligence Review","","45","1","10.1007/s10462-015-9438-6","Junaid Qadir","2016","http://link.springer.com/article/10.1007/s10462-015-9438-6","Article"
"Research of semi-supervised spectral clustering algorithm based on pairwise constraints","Neural Computing and Applications","","24","1","10.1007/s00521-012-1207-8","Shifei DingHongjie JiaLiwen ZhangFengxiang Jin","2014","http://link.springer.com/article/10.1007/s00521-012-1207-8","Article"
"A novel probabilistic clustering model for heterogeneous networks","Machine Learning","","104","1","10.1007/s10994-016-5544-1","Zhi-Hong DengXiaoran Xu","2016","http://link.springer.com/article/10.1007/s10994-016-5544-1","Article"
"MR-DIS: democratic instance selection for big data by MapReduce","Progress in Artificial Intelligence","","6","3","10.1007/s13748-017-0117-5","Álvar Arnaiz-GonzálezAlejandro González-RogelJosé-Francisco Díez-PastorCarlos López-Nozal","2017","http://link.springer.com/article/10.1007/s13748-017-0117-5","Article"
"Ambiguity-driven fuzzy C-means clustering: how to detect uncertain clustered records","Applied Intelligence","","45","2","10.1007/s10489-016-0759-1","Meysam GhaffariNasser Ghadiri","2016","http://link.springer.com/article/10.1007/s10489-016-0759-1","Article"
"Declarative data analysis","International Journal of Data Science and Analytics","","","","10.1007/s41060-017-0081-y","Hendrik Blockeel","2017","http://link.springer.com/article/10.1007/s41060-017-0081-y","Article"
"Technology Roadmap Development for Big Data Healthcare Applications","KI - Künstliche Intelligenz","","29","2","10.1007/s13218-014-0335-y","Sonja ZillnerSabrina Neururer","2015","http://link.springer.com/article/10.1007/s13218-014-0335-y","Article"
"A survey on classification techniques for opinion mining and sentiment analysis","Artificial Intelligence Review","","","","10.1007/s10462-017-9599-6","Fatemeh HemmatianMohammad Karim Sohrabi","2017","http://link.springer.com/article/10.1007/s10462-017-9599-6","Article"
"A new data science research program: evaluation, metrology, standards, and community outreach","International Journal of Data Science and Analytics","","1","3 - 4","10.1007/s41060-016-0016-z","Bonnie J. DorrCraig S. GreenbergPeter FontanaMark PrzybockiMarion Le BrasCathryn PloehnOleg AulovMartial MichelE. Jim GoldenWo Chang","2016","http://link.springer.com/article/10.1007/s41060-016-0016-z","Article"
"The Parameter-less Randomized Gravitational Clustering algorithm with online clusters’ structure characterization","Progress in Artificial Intelligence","","2","4","10.1007/s13748-014-0054-5","Jonatan GomezElizabeth LeonOlfa NasraouiFabian Giraldo","2014","http://link.springer.com/article/10.1007/s13748-014-0054-5","Article"
"Linearized alternating direction method with parallel splitting and adaptive penalty for separable convex programs in machine learning","Machine Learning","","99","2","10.1007/s10994-014-5469-5","Zhouchen LinRisheng LiuHuan Li","2015","http://link.springer.com/article/10.1007/s10994-014-5469-5","Article"
"On combining machine learning with decision making","Machine Learning","","97","1 - 2","10.1007/s10994-014-5459-7","Theja TulabandhulaCynthia Rudin","2014","http://link.springer.com/article/10.1007/s10994-014-5459-7","Article"
"Clustering Context-Dependent Opinion Target Words in Chinese Product Reviews","Journal of Computer Science and Technology","","30","5","10.1007/s11390-015-1586-2","Yu ZhangMiao LiuHai-Xia Xia","2015","http://link.springer.com/article/10.1007/s11390-015-1586-2","Article"
"Enhancing Telco Service Quality with Big Data Enabled Churn Analysis: Infrastructure, Model, and Deployment","Journal of Computer Science and Technology","","30","6","10.1007/s11390-015-1594-2","Hui LiDi WuGao-Xiang LiYi-Hao KeWen-Jie LiuYuan-Huan ZhengXiao-La Lin","2015","http://link.springer.com/article/10.1007/s11390-015-1594-2","Article"
"Evolution Is not enough: Revolutionizing Current Learning Environments to Smart Learning Environments","International Journal of Artificial Intelligence in Education","","26","2","10.1007/s40593-016-0108-x","KinshukNian-Shing ChenI-Ling ChengSie Wai Chew","2016","http://link.springer.com/article/10.1007/s40593-016-0108-x","Article"
"Semi-supervised projected model-based clustering","Data Mining and Knowledge Discovery","","28","4","10.1007/s10618-013-0323-0","Luis GuerraConcha BielzaVíctor RoblesPedro Larrañaga","2014","http://link.springer.com/article/10.1007/s10618-013-0323-0","Article"
"Crowd-Guided Entity Matching with Consolidated Textual Data","Journal of Computer Science and Technology","","32","5","10.1007/s11390-017-1769-0","Zhi-Xu LiQiang YangAn LiuGuan-Feng LiuJia ZhuJia-Jie XuKai ZhengMin Zhang","2017","http://link.springer.com/article/10.1007/s11390-017-1769-0","Article"
"Bibliographic analysis on research publications using authors, categorical labels and the citation network","Machine Learning","","103","2","10.1007/s10994-016-5554-z","Kar Wai LimWray Buntine","2016","http://link.springer.com/article/10.1007/s10994-016-5554-z","Article"
"Quantum speed-up for unsupervised learning","Machine Learning","","90","2","10.1007/s10994-012-5316-5","Esma AïmeurGilles BrassardSébastien Gambs","2013","http://link.springer.com/article/10.1007/s10994-012-5316-5","Article"
"Cartogram visualization for nonlinear manifold learning models","Data Mining and Knowledge Discovery","","27","1","10.1007/s10618-012-0294-6","Alfredo VellidoDavid L. GarcíaÀngela Nebot","2013","http://link.springer.com/article/10.1007/s10618-012-0294-6","Article"
"Feature-weighted clustering with inner product induced norm based dissimilarity measures: an optimization perspective","Machine Learning","","106","7","10.1007/s10994-016-5623-3","Arkajyoti SahaSwagatam Das","2017","http://link.springer.com/article/10.1007/s10994-016-5623-3","Article"
"Structured Overcomplete Sparsifying Transform Learning with Convergence Guarantees and Applications","International Journal of Computer Vision","","114","2 - 3","10.1007/s11263-014-0761-1","Bihan WenSaiprasad RavishankarYoram Bresler","2015","http://link.springer.com/article/10.1007/s11263-014-0761-1","Article"
"Weighted Online Sequential Extreme Learning Machine for Class Imbalance Learning","Neural Processing Letters","","38","3","10.1007/s11063-013-9286-9","Bilal MirzaZhiping LinKar-Ann Toh","2013","http://link.springer.com/article/10.1007/s11063-013-9286-9","Article"
"Machine learning based decision support systems (DSS) for heart disease diagnosis: a review","Artificial Intelligence Review","","","","10.1007/s10462-017-9552-8","Saima SafdarSaad ZafarNadeem ZafarNaurin Farooq Khan","2017","http://link.springer.com/article/10.1007/s10462-017-9552-8","Article"
"Local regression transfer learning with applications to users’ psychological characteristics prediction","Brain Informatics","","2","3","10.1007/s40708-015-0017-z","Zengda GuanAng LiTingshao Zhu","2015","http://link.springer.com/article/10.1007/s40708-015-0017-z","Article"
"Applications of association rule mining in health informatics: a survey","Artificial Intelligence Review","","47","3","10.1007/s10462-016-9483-9","Wasif AltafMuhammad ShahbazAziz Guergachi","2017","http://link.springer.com/article/10.1007/s10462-016-9483-9","Article"
"Explaining mixture models through semantic pattern mining and banded matrix visualization","Machine Learning","","105","1","10.1007/s10994-016-5550-3","Prem Raj AdhikariAnže VavpetičJan KraljNada LavračJaakko Hollmén","2016","http://link.springer.com/article/10.1007/s10994-016-5550-3","Article"
"A visual-numeric approach to clustering and anomaly detection for trajectory data","The Visual Computer","","33","3","10.1007/s00371-015-1192-x","Dheeraj KumarJames C. BezdekSutharshan RajasegararChristopher LeckieMarimuthu Palaniswami","2017","http://link.springer.com/article/10.1007/s00371-015-1192-x","Article"
"Survey on distance metric learning and dimensionality reduction in data mining","Data Mining and Knowledge Discovery","","29","2","10.1007/s10618-014-0356-z","Fei WangJimeng Sun","2015","http://link.springer.com/article/10.1007/s10618-014-0356-z","Article"
"Learning Sparse FRAME Models for Natural Image Patterns","International Journal of Computer Vision","","114","2 - 3","10.1007/s11263-014-0757-x","Jianwen XieWenze HuSong-Chun ZhuYing Nian Wu","2015","http://link.springer.com/article/10.1007/s11263-014-0757-x","Article"
"A constrained growing grid neural clustering model","Applied Intelligence","","43","1","10.1007/s10489-014-0635-9","Chihli Hung","2015","http://link.springer.com/article/10.1007/s10489-014-0635-9","Article"
"A semiparametric method for clustering mixed data","Machine Learning","","105","3","10.1007/s10994-016-5575-7","Alex FossMarianthi MarkatouBonnie RayAliza Heching","2016","http://link.springer.com/article/10.1007/s10994-016-5575-7","Article"
"Archetypoid analysis for sports analytics","Data Mining and Knowledge Discovery","","31","6","10.1007/s10618-017-0514-1","G. VinuéI. Epifanio","2017","http://link.springer.com/article/10.1007/s10618-017-0514-1","Article"
"A grid density based framework for classifying streaming data in the presence of concept drift","Journal of Intelligent Information Systems","","46","1","10.1007/s10844-015-0358-3","Tegjyot Singh SethiMehmed KantardzicHanquing Hu","2016","http://link.springer.com/article/10.1007/s10844-015-0358-3","Article"
"Malicious Domain Name Detection Based on Extreme Machine Learning","Neural Processing Letters","","","","10.1007/s11063-017-9666-7","Yong ShiGong ChenJuntao Li","2017","http://link.springer.com/article/10.1007/s11063-017-9666-7","Article"
"Recent automatic text summarization techniques: a survey","Artificial Intelligence Review","","47","1","10.1007/s10462-016-9475-9","Mahak GambhirVishal Gupta","2017","http://link.springer.com/article/10.1007/s10462-016-9475-9","Article"
"Asymmetric 
                
                  
                
                $$k$$
                
                  
                    k
                  
                
              -Means Clustering of the Asymmetric Self-Organizing Map","Neural Processing Letters","","43","1","10.1007/s11063-015-9415-8","Dominik Olszewski","2016","http://link.springer.com/article/10.1007/s11063-015-9415-8","Article"
"Active Image Clustering with Pairwise Constraints from Humans","International Journal of Computer Vision","","108","1 - 2","10.1007/s11263-013-0680-6","Arijit BiswasDavid Jacobs","2014","http://link.springer.com/article/10.1007/s11263-013-0680-6","Article"
"A unified probabilistic framework for robust manifold learning and embedding","Machine Learning","","106","5","10.1007/s10994-016-5602-8","Qi MaoLi WangIvor W. Tsang","2017","http://link.springer.com/article/10.1007/s10994-016-5602-8","Article"
"Complex Activity Recognition Via Attribute Dynamics","International Journal of Computer Vision","","122","2","10.1007/s11263-016-0918-1","Wei-Xin LiNuno Vasconcelos","2017","http://link.springer.com/article/10.1007/s11263-016-0918-1","Article"
"Using Memory in the Right Way to Accelerate Big Data Processing","Journal of Computer Science and Technology","","30","1","10.1007/s11390-015-1502-9","Dong YanXu-Sen YinCheng LianXiang ZhongXin ZhouGan-Sha Wu","2015","http://link.springer.com/article/10.1007/s11390-015-1502-9","Article"
"A Cluster Based Feature Selection Method for Cross-Project Software Defect Prediction","Journal of Computer Science and Technology","","32","6","10.1007/s11390-017-1785-0","Chao NiWang-Shu LiuXiang ChenQing GuDao-Xu ChenQi-Guo Huang","2017","http://link.springer.com/article/10.1007/s11390-017-1785-0","Article"
"A density-adaptive affinity propagation clustering algorithm based on spectral dimension reduction","Neural Computing and Applications","","25","7 - 8","10.1007/s00521-014-1628-7","Hongjie JiaShifei DingLingheng MengShuyan Fan","2014","http://link.springer.com/article/10.1007/s00521-014-1628-7","Article"
"Hermeneutic of performing data","AI & SOCIETY","","32","3","10.1007/s00146-017-0727-2","Karamjit S. Gill","2017","http://link.springer.com/article/10.1007/s00146-017-0727-2","Article"
"A density invariant approach to clustering","Neural Computing and Applications","","28","7","10.1007/s00521-015-2145-z","Manish KashyapMahua Bhattacharya","2017","http://link.springer.com/article/10.1007/s00521-015-2145-z","Article"
"Support vector-based fuzzy classifier with adaptive kernel","Neural Computing and Applications","","","","10.1007/s00521-017-3170-x","Hamed GanjiShahram KhadiviMohammad Mehdi Ebadzadeh","2017","http://link.springer.com/article/10.1007/s00521-017-3170-x","Article"
"CRAIS: A Crossbar-Based Interconnection Scheme on FPGA for Big Data","Journal of Computer Science and Technology","","30","1","10.1007/s11390-015-1506-5","Chao WangXi LiXue-Hai Zhou","2015","http://link.springer.com/article/10.1007/s11390-015-1506-5","Article"
"Medical Big Data: Neurological Diseases Diagnosis Through Medical Data Analysis","Data Science and Engineering","","1","2","10.1007/s41019-016-0011-3","Siuly SiulyYanchun Zhang","2016","http://link.springer.com/article/10.1007/s41019-016-0011-3","Article"
"A framework to uncover multiple alternative clusterings","Machine Learning","","98","1 - 2","10.1007/s10994-013-5338-7","Xuan Hong DangJames Bailey","2015","http://link.springer.com/article/10.1007/s10994-013-5338-7","Article"
"Adaptive evolutionary clustering","Data Mining and Knowledge Discovery","","28","2","10.1007/s10618-012-0302-x","Kevin S. XuMark KligerAlfred O. Hero III","2014","http://link.springer.com/article/10.1007/s10618-012-0302-x","Article"
"Joint Learning of Unsupervised Dimensionality Reduction and Gaussian Mixture Model","Neural Processing Letters","","45","3","10.1007/s11063-016-9508-z","Xi YangKaizhu HuangJohn Yannis GoulermasRui Zhang","2017","http://link.springer.com/article/10.1007/s11063-016-9508-z","Article"
"Classy: fast clustering streams of call-graphs","Data Mining and Knowledge Discovery","","28","5 - 6","10.1007/s10618-014-0367-9","Orestis Kostakis","2014","http://link.springer.com/article/10.1007/s10618-014-0367-9","Article"
"Efficient histogram dictionary learning for text/image modeling and classification","Data Mining and Knowledge Discovery","","31","1","10.1007/s10618-016-0461-2","Minyoung Kim","2017","http://link.springer.com/article/10.1007/s10618-016-0461-2","Article"
"Robust non-negative matrix factorization via joint sparse and graph regularization for transfer learning","Neural Computing and Applications","","23","2","10.1007/s00521-013-1371-5","Shizhun YangChenping HouChangshui ZhangYi Wu","2013","http://link.springer.com/article/10.1007/s00521-013-1371-5","Article"
"Performance prediction of roadheaders using ensemble machine learning techniques","Neural Computing and Applications","","","","10.1007/s00521-017-3141-2","Sadi Evren SekerIbrahim Ocak","2017","http://link.springer.com/article/10.1007/s00521-017-3141-2","Article"
"Genetic optimized artificial immune system in spam detection: a review and a model","Artificial Intelligence Review","","40","3","10.1007/s10462-011-9285-z","Raed Abu ZitarAdel Hamdan","2013","http://link.springer.com/article/10.1007/s10462-011-9285-z","Article"
